City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,zhenlai,45.8495,123.2973,3.41,26,89,4.23,CN,1712691810
111,savalou,7.9281,1.9756,29.45,63,83,2.01,BJ,1712691810
112,borba,-4.3878,-59.5939,28.17,72,100,2.0,BR,1712691810
113,tres isletas,-26.3407,-60.4321,27.81,77,78,2.64,AR,1712691811
114,geraldton,-28.7667,114.6,23.23,35,0,9.77,AU,1712691808
115,nyagan,62.1406,65.3936,-15.28,97,38,0.48,RU,1712691812
116,labuan,5.2767,115.2417,29.2,84,20,3.09,MY,1712691539
117,tannum sands,-23.9504,151.3693,16.94,72,2,2.06,AU,1712691812
118,dryden,49.7833,-92.7503,5.16,93,100,2.57,CA,1712691813
119,dalaman,36.7659,28.8028,15.92,77,40,1.03,TR,1712691813
120,portland,45.5234,-122.6762,17.18,72,75,4.63,US,1712691415
121,st. john's,47.5649,-52.7093,0.93,93,100,9.26,CA,1712691749
122,luganville,-15.5333,167.1667,26.38,88,11,0.74,VU,1712691579
123,camocim,-2.9022,-40.8411,27.51,85,100,3.47,BR,1712691814
124,luanda,-8.8368,13.2343,25.95,87,65,4.25,AO,1712691796
125,dunedin,-45.8742,170.5036,14.33,99,100,1.34,NZ,1712691814
126,westport,41.1415,-73.3579,25.62,35,0,4.12,US,1712691688
127,vadso,70.0744,29.7487,-1.51,86,40,4.12,NO,1712691815
128,sinabang,2.4803,96.3801,24.73,94,100,1.32,ID,1712691815
129,sitka,57.0531,-135.33,6.94,65,75,3.09,US,1712691543
130,usinsk,65.9939,57.5281,-12.74,86,100,3.58,RU,1712691554
131,marsh harbour,26.5412,-77.0636,22.4,62,70,7.06,BS,1712691816
132,bol'shoye murashkino,55.7826,44.7754,9.98,68,93,1.28,RU,1712691816
133,ndikinimeki,4.7667,10.8333,22.76,82,55,1.2,CM,1712691816
134,port alfred,-33.5906,26.891,19.22,84,99,12.44,ZA,1712691549
135,utrik,11.2278,169.8474,26.79,85,99,9.2,MH,1712691817
136,bandon,51.7469,-8.7425,7.77,90,100,3.16,IE,1712691817
137,port lincoln,-34.7333,135.8667,14.38,68,100,1.61,AU,1712691790
138,port moresby,-9.4431,147.1797,25.12,88,95,1.36,PG,1712691817
139,usogorsk,63.4106,48.6872,-1.3,96,95,1.92,RU,1712691818
